WellID,Latitude,Longitude,premon_trend,premon_slope (m/yr),postmon_trend,postmon_slope (m/yr),GW_trend,GW_slope (m/yr)
W1,30.7597,76.8042,no trend,,no trend,,decreasing,-10.40874237668687
W2,30.7083,76.7944,increasing,0.05187872093193087,no trend,0.03772631012254014,increasing,0.02188114639760509
W3,30.7116,76.7844,increasing,0.08164434713475996,decreasing,-0.03797136911071012,decreasing,-0.09230543608250825
W4,30.7119,76.7849,decreasing,-0.45436441467468996,decreasing,-1.9807522010075371,decreasing,-1.160206028059417
W5,30.7119,76.7842,increasing,0.26327701752560667,increasing,0.04413563838595655,increasing,0.03905921864371768
W6,30.7522,76.7187,increasing,1.6070531845092775,increasing,0.6354597198719881,increasing,0.7780028625157429
W7,30.6889,76.7919,increasing,0.11499512906544086,increasing,0.6553267936152382,increasing,0.252316015807155
W8,30.7269,76.8031,increasing,0.29137962051991667,decreasing,-0.14650128175924113,increasing,0.1683924538748605
W9,30.7495,76.7841,increasing,0.02992091744633044,decreasing,-0.6780573095884509,decreasing,-0.43759614142818726
W10,30.7039,76.7761,no trend,0.005722426870161809,increasing,0.07304979592122221,decreasing,-0.02729614434293041
W11,30.7038,76.7759,increasing,0.38125386803420547,increasing,0.30518195420424565,increasing,0.3011716311438023
W12,30.7379,76.7429,no trend,-0.007092215733074636,decreasing,-0.4136075367109657,decreasing,-0.2766503939534186
W13,30.7381,76.7432,increasing,0.12902864619441656,increasing,0.6454773982743474,increasing,0.29906390177323516
W14,30.744,76.7232,increasing,1.1205088197956776,increasing,2.408745846477165,increasing,2.133905721995645
W15,30.7102,76.7482,increasing,0.216266355702752,increasing,0.1146817368815897,increasing,0.1791129774199078
W16,30.7102,76.7485,increasing,0.23026629772199236,decreasing,-0.13981121492177195,increasing,0.04831783760823477
W17,30.7404,76.7303,no trend,-0.0037227541929173813,increasing,0.20281901580644196,decreasing,-0.1130105198019802
W18,30.7407,76.7307,increasing,0.17539633295466844,increasing,0.10107075664712734,no trend,0.011448232536641961
W19,30.703,76.7707,increasing,0.23561470588871852,increasing,0.27262682592469545,increasing,0.26943109283199557
W20,30.7026,76.7677,decreasing,-0.27678582994200346,decreasing,-1.0347338104248047,decreasing,-0.5309313125217083
W21,30.7125,76.7853,no trend,,no trend,,no trend,0.06651323870812847
W22,30.7125,76.7853,decreasing,-2.7308555725106616,no trend,-0.4272125014236995,decreasing,-2.082952851751243
W23,30.7125,76.7853,no trend,-0.166428544619549,decreasing,-0.2073572934622407,decreasing,-0.07940182774703694
W24,30.7542,76.7194,no trend,0.5931975858925033,no trend,-0.00601375089911284,no trend,0.09937978489890208
W25,30.7083,76.7336,no trend,,no trend,,no trend,0.9666016562568595
W26,30.6917,76.7861,no trend,,no trend,0.19963023782126357,no trend,0.05917476781919609
W27,30.7597,76.8042,no trend,,no trend,,no trend,
W28,30.7594,76.8042,no trend,,no trend,,no trend,0.207669988510529
W29,30.7597,76.8042,no trend,,no trend,-0.2528361704731463,no trend,-0.21639731869081913
W30,30.75,76.7861,no trend,,increasing,0.94657726494881,increasing,0.6709638135399264
W31,30.7556,76.7944,no trend,,no trend,0.15326648908894003,increasing,0.19286284763778824
W32,30.75,76.7861,no trend,,no trend,,no trend,126.82015926812007
W33,30.725,76.7736,no trend,,no trend,,increasing,0.7528622377891934
W34,30.725,76.7736,no trend,,no trend,,no trend,-0.021869335013753297
W35,30.7375,76.7875,no trend,,increasing,1.1057553925573158,increasing,1.2274790513710896
W36,30.7056,76.7806,no trend,0.03499186387027208,no trend,-0.08678244656635799,no trend,-0.02389039300296524
W37,30.7056,76.7806,no trend,-0.0208180376048915,no trend,-0.10288251708921572,no trend,-0.005580723604415969
W38,30.7375,76.7431,no trend,,decreasing,-0.5518703618745981,decreasing,-0.4928604705818918
W39,30.7375,76.7431,no trend,-0.13965436395476846,decreasing,-0.20443441524132613,decreasing,-0.15418614477869716
W40,30.7375,76.7278,decreasing,-4.081763559128492,no trend,-0.7320786136862142,no trend,-0.6160206635596102
W41,30.7375,76.7278,no trend,,no trend,0.5786788111021948,increasing,0.41913914847988154
W42,30.7097,76.8014,no trend,,decreasing,-0.1953524669913071,decreasing,-0.1651050542799856
W43,30.7097,76.8014,no trend,0.0161237588704916,no trend,-0.05587595510975264,no trend,-0.028675662962497923
W44,31.3096,76.7633,no trend,-0.0642396696847887,decreasing,-0.035897627509489695,decreasing,-0.028170816083193977
W45,30.7083,76.7333,no trend,,no trend,,increasing,2.593742886300136
W46,30.7404,76.7303,no trend,,no trend,,no trend,
W47,30.7404,76.7303,no trend,,no trend,,no trend,
W48,30.7033,76.7694,no trend,-0.09804069973156518,no trend,-0.0038715421224274067,no trend,-0.043766392991433735
W49,30.7033,76.7694,no trend,,no trend,0.4029528747521594,increasing,0.38840691306644354
W50,30.7033,76.7694,no trend,,no trend,,no trend,-0.2954985528539512
